loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number
0.3934803903102875,0.8135262131690979,0.5115151405334473,0.6861788630485535,0.8757761716842651,0.6606599688529968,0.5861111283302307,0.7150602340698242,0.9186052680015564,0.4884848594665527,0.0813947618007659,0.4774769842624664,0.1320334374904632,0.0603849627077579,0.681492805480957,0.1260888129472732,0.8438686728477478,0.3138211369514465,0.1561313569545745,0.2851547598838806,0.4145383238792419,0.7150602340698242,0.5924448370933533,0.5300475358963013,6.284366607666016,0.5317679047584534,2.5095129013061523,train,FFNN,active_promoters_vs_inactive_promoters (NO FS),0
0.3919419050216675,0.8148370385169983,0.5220088958740234,0.6856851577758789,0.8771010041236877,0.6638094782829285,0.5927556753158569,0.7193715572357178,0.9167341589927672,0.4779910743236542,0.0832658559083938,0.4831775426864624,0.1347549706697464,0.0617710351943969,0.6800820827484131,0.1233919039368629,0.8464270234107971,0.3143148124217987,0.153572991490364,0.2854015231132507,0.4212173223495483,0.7193715572357178,0.5982756614685059,0.532112181186676,6.269176006317139,0.521406352519989,2.563430070877075,test,FFNN,active_promoters_vs_inactive_promoters (NO FS),0
0.1068085134029388,0.960252285003662,0.9285333156585692,0.9183810353279114,0.9908202290534972,0.9726855754852296,0.923429310321808,0.9499108195304872,0.9712883234024048,0.0714666694402694,0.0287116859108209,0.8966149091720581,0.2396751046180725,0.0213005598634481,0.7205771803855896,0.0184471365064382,0.9750385284423828,0.0816189497709274,0.0249614734202623,0.1495479047298431,0.8577507138252258,0.9499108195304872,0.9234431982040404,0.8934195637702942,32.33979415893555,0.0735792443156242,18.96437263488769,train,CNN,active_promoters_vs_inactive_promoters (NO FS),0
1.7460380792617798,0.7693347334861755,0.4808997511863708,0.5622307658195496,0.7451226115226746,0.5017297863960266,0.5183946490287781,0.6753014326095581,0.8697031140327454,0.5191002488136292,0.1302969008684158,0.369897186756134,0.1241427659988403,0.0966611579060554,0.6451919674873352,0.1340041011571884,0.8280225992202759,0.437769204378128,0.1719773858785629,0.3423313200473785,0.3498871326446533,0.6753014326095581,0.5199775099754333,0.3902533650398254,3.690796613693237,0.5968705415725708,2.079779148101806,test,CNN,active_promoters_vs_inactive_promoters (NO FS),0
0.2662199139595032,0.8761513829231262,0.7744485139846802,0.7528396844863892,0.9404488205909729,0.8078423738479614,0.7634912133216858,0.8429927825927734,0.9115369915962219,0.2255515158176422,0.08846303075551987,0.6797502040863037,0.19990238547325134,0.06562875211238861,0.6762490272521973,0.05821986496448517,0.9207320213317871,0.24716030061244965,0.07926797866821289,0.2526018023490906,0.6174572110176086,0.8429927825927734,0.7635676860809326,0.6735717058181763,8.754478454589844,0.24744084477424622,5.369130611419678,train,MMNN,active_promoters_vs_inactive_promoters (NO FS),0
0.3469601273536682,0.8460729718208313,0.7174714207649231,0.6957502961158752,0.9044218063354492,0.7260268926620483,0.7064439058303833,0.8041473031044006,0.8908231854438782,0.2825286090373993,0.10917678475379944,0.6022965312004089,0.18521299958229065,0.08099314570426941,0.660860002040863,0.0729338750243187,0.9006071090698242,0.30424970388412476,0.0993928611278534,0.28062117099761963,0.5461254715919495,0.8041473031044006,0.7065274119377136,0.5963574051856995,6.5716423988342285,0.31715449690818787,4.10587739944458,test,MMNN,active_promoters_vs_inactive_promoters (NO FS),0
,,,,0.8995655138745542,0.7053935848045342,0.7095145406540885,,,,,,,,,,,,,,,,,,,,,train,RF,active_promoters_vs_inactive_promoters (NO FS),0
,,,,0.8960201364077547,0.703372534455573,0.7040604052700515,,,,,,,,,,,,,,,,,,,,,test,RF,active_promoters_vs_inactive_promoters (NO FS),0
0.395527184009552,0.8112484812736511,0.5038545727729797,0.6818450093269348,0.8752055168151855,0.6570531725883484,0.5794903039932251,0.7110275030136108,0.9182003736495972,0.49614545702934265,0.08179962635040283,0.47009074687957764,0.13005606830120087,0.06068532168865204,0.6811924576759338,0.12806618213653564,0.8417487740516663,0.3181549906730652,0.15825124084949493,0.2872028350830078,0.4079453647136688,0.7110275030136108,0.5861319899559021,0.5235937833786011,6.15961217880249,0.5403454303741455,2.460536241531372,train,FFNN,active_promoters_vs_inactive_promoters (NO FS),1
0.39201295375823975,0.8155879378318787,0.5167733430862427,0.6909515261650085,0.8776585459709167,0.6663201451301575,0.5913023948669434,0.7181707620620728,0.9195681214332581,0.4832266867160797,0.08043184876441956,0.48377326130867004,0.13340342044830322,0.05966861918568611,0.6821845173835754,0.12474345415830612,0.8454094529151917,0.30904847383499146,0.15459057688713074,0.2829049229621887,0.4197511374950409,0.7181707620620728,0.5975494384765625,0.5363609790802002,6.424976348876953,0.5254930257797241,2.5482470989227295,test,FFNN,active_promoters_vs_inactive_promoters (NO FS),1
0.09667352586984634,0.9652583003044128,0.9525333046913147,0.9161964058876038,0.993012011051178,0.9770556688308716,0.9340115785598755,0.9611095190048218,0.9696857333183289,0.047466665506362915,0.03031427599489689,0.9107635617256165,0.24587003886699677,0.022489488124847412,0.7193882465362549,0.012252202257514,0.9832537770271301,0.08380357176065445,0.01674620620906353,0.15138831734657288,0.8761930465698242,0.9611095190048218,0.934188187122345,0.8994501829147339,31.421833038330078,0.04895056039094925,24.713207244873047,train,CNN,active_promoters_vs_inactive_promoters (NO FS),1
